"addressId;""houseNo"";""societyName"";""streetNo"";""landmark"";""district"";""subDistrict"";""city"";""state"";""country"";""pinCode"""
"1;""2"";""Paunsford"";""81275"";""Petterle"";""Northport"";""Montana"";""Goba"";""Alqu?zar"";""Ethiopia"";""792"""
"2;""2"";""Pavlishchev"";""0330"";""SaintPaul"";""Transport"";""Killdeer"";""Krasnoznamensk"";""F?gl?"";""Russia"";""6"""
"3;""23143"";""Marchington"";""53"";""Mallard"";""Bay"";""Graceland"";""Hashimoto"";""Mallaw?"";""Japan"";""444"""
"4;""06"";""Klaffs"";""88"";""Sauthoff"";""Atwood"";""Caliangt"";""Misheronskiy"";""Bascaron"";""Russia"";""7820"""
"5;""708"";""McVicker"";""1738"";""Gulseth"";""GreenRidge"";""Portage"";""Sukorejo"";""Saidpur"";""Indonesia"";""99"""
"6;""7378"";""Zaniolini"";""11104"";""Hoard"";""DelSol"";""Gulseth"";""Xiangrong"";""Sindang"";""China"";""4406"""
"7;""88282"";""Bresnahan"";""8136"";""Lawn"";""Columbus"";""Erie"";""Wonopringgo"";""HradecnadMoravici"";""Indonesia"";""38"""
"8;""46"";""Eriksson"";""5127"";""Talmadge"";""Aberg"";""Shelley"";""AguasCorrientes"";""RioBranco"";""Uruguay"";""9"""
"9;""57"";""Wiltshier"";""11193"";""Bluestem"";""Armistice"";""Lawn"";""Randu"";""Bronx"";""Indonesia"";""53"""
"10;""50169"";""Callander"";""6103"";""Derek"";""Forest"";""GoldenLeaf"";""Temenggungan"";""Gllogjan"";""Indonesia"";""992"""
"11;""34"";""Bevan"";""70344"";""Becker"";""Carberry"";""Jenifer"";""Shijing"";""Bronx"";""China"";""9016"""
"12;""2202"";""Condit"";""8720"";""Grim"";""Steensland"";""Toban"";""SanCarlosdeBariloche"";""Ubiaja"";""Argentina"";""02114"""
"13;""04"";""Coat"";""5465"";""Fordem"";""Vera"";""LakewoodGardens"";""LaLuz"";""Lewopao"";""Venezuela"";""4652"""
"14;""11909"";""Monkhouse"";""82903"";""Muir"";""Summerview"";""Reindahl"";""Eldoret"";""Khasavyurt"";""Kenya"";""63"""
"15;""964"";""Villa"";""284"";""Bultman"";""Texas"";""East"";""Dasha"";""Dubna"";""China"";""9"""
"16;""55"";""Rubinfajn"";""87"";""Warner"";""Southridge"";""Fremont"";""Sumberjati"";""Tiandian"";""Indonesia"";""58068"""
