"sellerId";"sellerName";"storeName";"sellerPassword";"sellerRatings";"mobile";"email";"sellerCode";"addressId"
1;"Elizabet";"Quamba";"gR8#VD5k,I_";6;"454-299-7420";"eleckey0@cargocollective.com";"egibben0";1
2;"Helyn";"Pixoboo";"cH0|_*0|I>lt";5;"554-639-6294";"hellerey1@comsenz.com";"hbulward1";2
3;"Bridget";"Quimba";"tX3~d_5,";4;"759-720-4060";"bgounin2@cafepress.com";"bshambrooke2";3
4;"Kristan";"Linktype";"jB7,xWVTl06jAA";10;"326-523-1917";"kchetwin3@skype.com";"khuntingdon3";4
5;"Joshua";"Topdrive";"qV5.~783G"">";3;"400-483-0765";"jranyell4@ezinearticles.com";"jcordet4";5
6;"Arne";"Blogtag";"eZ8($I&)9o$Ys";4;"639-513-3382";"apeak5@usda.gov";"athompstone5";6
7;"Inness";"Plajo";"gA4?3k<N((E%O{l";6;"747-909-3400";"idenyukin6@wired.com";"ipyson6";7
8;"Kimmi";"Ntags";"nG7$==5UPFBSa";6;"636-843-4565";"khavers7@networkadvertising.org";"kheasly7";8
9;"Brigitta";"Gevee";"cL4~&654MZtD6C";4;"213-453-3174";"bkinze8@microsoft.com";"baccomb8";9
10;"Nap";"Eare";"aX6>GyaY.pGn";6;"963-845-5429";"nwastell9@usa.gov";"nriccardi9";10
11;"Devlin";"Jaxworks";"pX3}|oc}";6;"746-855-0703";"dleydena@mac.com";"dlevesquea";11
12;"Ferdinande";"Tagopia";"lK1|_?yY""yFZ";2;"759-563-3579";"fquiggb@yellowpages.com";"fjankowskib";12
13;"Inness";"Tazzy";"iF5""`y`""VU";5;"778-995-7267";"iszapiroc@gizmodo.com";"itonkesc";13
14;"Cordey";"Oyoloo";"vN7+iFZ*";8;"629-676-4080";"cocahernyd@dagondesign.com";"ckaliszewskid";14
15;"Nicolai";"Centizu";"pA0&yDagiw";8;"147-526-2197";"nmontillae@telegraph.co.uk";"nschrotere";15
16;"Lyndell";"Eabox";"jA0@ngYPz{f";2;"186-902-9281";"lredwallf@wiley.com";"llindoresf";16
17;"Teodorico";"Skipfire";"pM0&!hL(oJ`o";1;"172-598-0525";"tbwyg@ftc.gov";"tferaghg";17
18;"Fay";"Brainlounge";"fR4_P*yxm"">";1;"209-546-5189";"frenowdenh@vinaora.com";"fwernerh";18
19;"Riane";"Skynoodle";"mS5{qWl=g";6;"504-346-9994";"rfildesi@nsw.gov.au";"rjacqueti";19
20;"Herschel";"Rhyzio";"yE8<H6i%s(Qm";7;"701-569-6038";"hadnetj@netscape.com";"hoganj";20
21;"Phillis";"Demizz";"gJ8*l8lz,E_{uF";8;"944-686-6114";"psaizk@nydailynews.com";"pmacarthurk";21
22;"Gabriello";"Realbridge";"jA1>.CZ,";5;"404-537-2914";"gmcallenl@is.gd";"gsidgwickl";22
23;"Briana";"Mita";"yP2?m~>7!Ex";1;"909-748-9361";"bkingdonm@networksolutions.com";"bseadonm";23
24;"Marcus";"Centizu";"oW9!""c+0kn{C2";4;"899-151-3888";"msaffrinn@skyrock.com";"mhirsthousen";24
25;"Buffy";"Roomm";"oA5=~U>'?9n(L";6;"455-874-5396";"bstroddero@samsung.com";"bcarloso";25
